visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /root/x00827378/vllm-ascend/mytmp/build_libcust_opapi_nodebug_debug_line/binary/ascend910b/src/turboquant_pack_kv_for_cache4bit/turboquant_pack_kv_for_cache4bit.cpp
Line  Instructions Executed  Records  Range Count
Line  Instructions Executed  Records  Range Count
64    4720                   1       6
88    320                    1       2
93    1600                   1       1
94    5600                   1       1
98    25120                  1       1
117   160                    1       1
118   2080                   1       5
119   3360                   1       4
129   1920                   1       3
133   2080                   1       4
134   1280                   1       1
135   6560                   1       2
142   1920                   1       2
143   2880                   1       2
144   8160                   1       2
199   3520                   1       4
201   4160                   1       5
202   160                    1       3
229   800                    1       3
230   160                    1       1
231   160                    1       1
233   1760                   1       5
234   1120                   1       3
235   4320                   1       3
239   0                      1       2
255   640                    1       3
269   2480                   1       5
270   1440                   1       3
271   5280                   1       1
276   0                      1       2
291   480                    1       1
296   2080                   1       6
381   160                    1       1
382   320                    1       2
392   160                    1       1
416   160                    1       1
443   160                    1       1
444   160                    1       1
491   480                    1       1
567   40                     1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../scheduler/base/scheduler_mdl_common.h
Line  Instructions Executed  Records  Range Count
31    40                     1       2
62    14080                  1       8
84    59120                  1       1
113   640                    1       3
114   640                    1       1
115   10080                  1       4
119   8480                   1       1
120   640                    1       4
121   320                    1       2
122   2240                   1       5
131   160                    1       1
134   3200                   1       2
143   26320                  1       7
145   0                      1       2
146   0                      1       1
147   1600                   1       5
216   1280                   1       3
217   8480                   1       5
218   10320                  1       3
219   320                    1       2
220   320                    1       2
221   3040                   1       4
222   160                    1       1
223   960                    1       3
301   320                    1       2
303   640                    1       4
304   640                    1       1

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../scheduler/base/scheduler_mdl_fullload.h
Line  Instructions Executed  Records  Range Count
31    40                     1       2
51    960                    1       2
52    44800                  1       3
55    160                    1       1
56    3840                   1       1
59    15040                  1       3
60    160                    1       1
63    15840                  1       4
64    320                    1       3
66    59120                  1       1

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../scheduler/iterator/k_loop/k_loop_mdl.h
Line  Instructions Executed  Records  Range Count
40    80                     1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../scheduler/iterator/k_loop/k_loop_mdl_base.h
Line  Instructions Executed  Records  Range Count
39    320                    1       7
43    320                    1       9
48    160                    1       1
49    9920                   1       5
80    480                    1       2
81    2720                   1       3
86    800                    1       5
87    800                    1       4
90    0                      1       2
97    640                    1       3
112   320                    1       2
117   160                    1       1
147   0                      1       2
157   0                      1       3
256   40                     1       4
274   0                      1       1
275   40                     1       5
278   0                      1       1
279   40                     1       5
283   40                     1       9
284   40                     1       1
289   40                     1       2
291   0                      1       1
292   0                      1       1
293   0                      1       1
296   40                     1       2
298   40                     1       4
356   160                    1       1
369   320                    1       2
370   1600                   1       4
371   320                    1       2
372   640                    1       3
373   1120                   1       3
374   1280                   1       3
377   800                    1       3
378   1280                   1       4
379   640                    1       2
380   320                    1       2
381   320                    1       2
382   480                    1       3
383   320                    1       2
384   320                    1       1
386   0                      1       1
397   2720                   1       5
435   40                     1       2
438   40                     1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../scheduler/iterator/m_loop/m_loop_mdl.h
Line  Instructions Executed  Records  Range Count
40    120                    1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../scheduler/iterator/m_loop/m_loop_mdl_base.h
Line  Instructions Executed  Records  Range Count
40    200                    1       5
44    1378                   1       8
65    160                    1       1
67    1920                   1       5
84    1920                   1       2
134   160                    1       1
135   3200                   1       3
169   3200                   1       3
186   1378                   1       8
257   257                    1       7
258   186                    1       4
259   248                    1       4
260   40                     1       3
262   93                     1       1
264   102                    1       4
265   319                    1       5
267   31                     1       1
270   102                    1       4
300   480                    1       2
305   2720                   1       2
327   160                    1       1
328   640                    1       2
335   1120                   1       2
339   40                     1       2
342   40                     1       2
344   40                     1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../scheduler/iterator/n_loop/n_loop_mdl.h
Line  Instructions Executed  Records  Range Count
38    120                    1       2

visualize_data: /root/x00827378/vllm-ascend/mytmp/OPPROF_20260627134444_LLPYGPYEZKODALFN/visualize_data.bin
Source: /usr/local/Ascend/cann-8.5.1/aarch64-linux/asc/../../include/ascendc/include/adv_api/matmul/../../../impl/adv_api/detail/matmul/policy/../scheduler/iterator/n_loop/n_loop_mdl_base.h
Line  Instructions Executed  Records  Range Count
38    200                    1       2
47    200                    1       4
89    640                    1       2
130   320                    1       2
131   1600                   1       4
162   320                    1       2
166   1280                   1       4
196   40                     1       7
197   0                      1       4
198   0                      1       4
199   40                     1       3
